Row,Paper,Cohort,Title,Aim,Year,DOI,Country,Condition,Male_age,Data_from,Trait_description,Trait,Broad_trait,Dura_min,Dura_max,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,sd_1,sd_2,sd_3,sd_4,sd_5,sd_6,sd_7,sd_8,sd_9,sd_10,sd_11,sd_12,sd_13,sd_14,sd_15,sd_16,sd_17,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,se_10,se_11,se_12,se_13,se_14,se_15,se_16,se_17,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,Nsamples_1,Nsamples_2,Nsamples_3,Nsamples_4,N_unique_males,N_total,N_test,Test_stat,Value,SE_beta,CI_low_OR,CI_high_OR,Calculation,Multiplier,Sampling,Study_type,Comments
RH49.1,H16,H16A,"Does duration of abstinence affect the live-birth rate after assisted reproductive technology? A retrospective analysis of 1,030 cycles",Abstinence,2017,10.1016/j.fertnstert.2017.08.034,India,Infertile,37,Supplementary table 3,Embryo cleavage % embryos with cleavage),Embryo quality,Fertilisation and post-fertilisation,2,6,3,6,,,,,,,,,,,,,,,,47.1,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,332,,,,,,,,,,,,,,,,,,,,868,868,,,,,,,Percent,1,Cross sectional,Retrospective,"Because only % is reported, this need a logit transformation ""Percent"" calculation. Therefore, the comparison between four groups has instead been split up into three comparisons between two groups each."
RH50,H16,H16A,"Does duration of abstinence affect the live-birth rate after assisted reproductive technology? A retrospective analysis of 1,030 cycles",Abstinence,2017,10.1016/j.fertnstert.2017.08.034,India,Infertile,37,Supplementary table 3,Miscarriage rate %- % miscarriages to total pregnancies,Embryo quality,Fertilisation and post-fertilisation,2,7,3,7,,,,,,,,,,,,,,,,6.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,162,,,,,,,,,,,,,,,,,,,,698,698,,,,,,,Percent,-1,Cross sectional,Retrospective,"Because only % is reported, this need a logit transformation ""Percent"" calculation. Therefore, the comparison between four groups has instead been split up into three comparisons between two groups each."
RH50.1,H16,H16A,"Does duration of abstinence affect the live-birth rate after assisted reproductive technology? A retrospective analysis of 1,030 cycles",Abstinence,2017,10.1016/j.fertnstert.2017.08.034,India,Infertile,37,Supplementary table 3,Miscarriage rate %- % miscarriages to total pregnancies,Embryo quality,Fertilisation and post-fertilisation,2,6,3,6,,,,,,,,,,,,,,,,6.9,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,332,,,,,,,,,,,,,,,,,,,,868,868,,,,,,,Percent,-1,Cross sectional,Retrospective,"Because only % is reported, this need a logit transformation ""Percent"" calculation. Therefore, the comparison between four groups has instead been split up into three comparisons between two groups each."
RH108,H34,H34A,How 1 h of abstinence improves sperm quality and increases embryo euploidy rate after PGT-A: a study on 106 sibling biopsied blastocysts,Abstinence,2019,10.1007/s10815-019-01533-7,Italy,Infertile,39.9,table 2,% progressive,Motility,Sperm performance,0.042,7,0.042,4.5,,,,,,,,,,,,,,,,11.2,10.4,13.9,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,22,44,,,,,,,Percent,1,Longitudinal,Prospective,
RH109,H34,H34A,How 1 h of abstinence improves sperm quality and increases embryo euploidy rate after PGT-A: a study on 106 sibling biopsied blastocysts,Abstinence,2019,10.1007/s10815-019-01533-7,Italy,Infertile,39.9,table 2,% normal morphlology sperm,Morphology,Morphology,0.042,5,0.042,3.5,,,,,,,,,,,,,,,,1.4,1.4,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,,,,,22,44,,,,,,,Percent,1,Longitudinal,Prospective,
RH110,H34,H34A,How 1 h of abstinence improves sperm quality and increases embryo euploidy rate after PGT-A: a study on 106 sibling biopsied blastocysts,Abstinence,2019,10.1007/s10815-019-01533-7,Italy,Infertile,39.9,table 4,% euploid embryos (correct number of chromosomes),Embryo quality,Fertilisation and post-fertilisation,0.042,5,0.042,3.5,,,,,,,,,,,,,,,,43.6,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,55,51,,,22,44,,,,,,,Percent,1,Longitudinal,Prospective,
RH258,H67,H67A,Improvement of sperm motility by short-interval sequential ejaculation in oligoasthenozoospermic patients,Abstinence,2008,https://www.semanticscholar.org/paper/Improvement-of-sperm-motility-by-short-interval-in-Sugiyam-Nakagawa/9f0fa3b5390859ffdf98d836723600afe96da296,Japan,Infertile,39.1,table 2,% cleavage rate of ambryos,Embryo quality,Fertilisation and post-fertilisation,0.008,5,0.025,4,,,,,,,,,,,,,,,,90.1,92.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,,,,,,,,,,,,,,,,38,30,,,22,44,,,,,,,Percent,1,Longitudinal,Prospective,"% fertilisation rate not recorded because it is IVF, not ICSI, thus sperm number not controlled fro"
RH411,H107,H107A,THE EFFECT OF EJACULATORY FREQUENCY ON SEMEN CHARACTERISTICS OF NORMOZOOSPERMIC AND OLIGOZOOSPERMIC MEN FROM AN INFERTILE POPULATION,Abstinence,1993,10.1093/oxfordjournals.humrep.a137877,Israel,Healthy,,Table 2,% motile,Motility,Sperm performance,1,4,1,4,,,,,,,,,,,,,,,,53,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,65,,,,,,,,,,,,,,,,,,,,65,130,,,,,,,Percent,1,Longitudinal,Prospective,
RH412,H107,H107B,THE EFFECT OF EJACULATORY FREQUENCY ON SEMEN CHARACTERISTICS OF NORMOZOOSPERMIC AND OLIGOZOOSPERMIC MEN FROM AN INFERTILE POPULATION,Abstinence,1993,10.1093/oxfordjournals.humrep.a137877,Israel,Infertile,,Table 3,% motile,Motility,Sperm performance,1,4,1,4,,,,,,,,,,,,,,,,51,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,13,26,,,,,,,Percent,1,Longitudinal,Prospective,
RH413,H107,H107C,THE EFFECT OF EJACULATORY FREQUENCY ON SEMEN CHARACTERISTICS OF NORMOZOOSPERMIC AND OLIGOZOOSPERMIC MEN FROM AN INFERTILE POPULATION,Abstinence,1993,10.1093/oxfordjournals.humrep.a137877,Israel,Infertile,,Table 4,% motile,Motility,Sperm performance,1,4,1,4,,,,,,,,,,,,,,,,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,9,18,,,,,,,Percent,1,Longitudinal,Prospective,
RH10,H3,H3A,Abstinence Time and Its Impact on Basic and Advanced Semen Parameters,Abstinence,2016,10.1016/j.urology.2016.03.059,USA,Healthy,32.5,table 1,Total % motile ,Motility,Sperm performance,1,11,1,2,5,7,9,11,,,,,,,,,,,,47.51,46.65,47.82,42.33,48.41,40.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55,3.55,3.34,3.64,2.96,2.94,,,,,,,,,,,,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,42,,,,,,,Simulation,1,Longitudinal,Prospective,
RH11,H3,H3A,Abstinence Time and Its Impact on Basic and Advanced Semen Parameters,Abstinence,2016,10.1016/j.urology.2016.03.059,USA,Healthy,32.5,table 1,Reactive oxygen species,Oxidative stress,Intra-cellular,1,11,1,2,5,7,9,11,,,,,,,,,,,,360.02,1233.02,725.29,2989.25,622.36,272.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.52,914.71,595.37,3074.99,492.26,159.96,,,,,,,,,,,,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,42,,,,,,,Simulation,-1,Longitudinal,Prospective,
RH12,H3,H3A,Abstinence Time and Its Impact on Basic and Advanced Semen Parameters,Abstinence,2016,10.1016/j.urology.2016.03.059,USA,Healthy,32.5,table 1,DNA fragmentation % sperm,DNA damage,Intra-cellular,1,11,1,2,5,7,9,11,,,,,,,,,,,,9.9,9.09,12.09,16.3,15.6,20.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,2.14,1.65,3.05,2.73,1.97,,,,,,,,,,,,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,42,,,,,,,Simulation,-1,Longitudinal,Prospective,
RH12.1,H3,H3A,Abstinence Time and Its Impact on Basic and Advanced Semen Parameters,Abstinence,2016,10.1016/j.urology.2016.03.059,USA,Healthy,32.5,table 1,% normal morphlology sperm,Morphology,Morphology,1,11,1,2,5,7,9,11,,,,,,,,,,,,4,5.12,6.5,4.6,6.12,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,1.37,1.38,0.43,0.82,1.36,,,,,,,,,,,,7,7,7,7,7,7,,,,,,,,,,,,,,,,7,42,,,,,,,Simulation,1,Longitudinal,Prospective,
RH160,H46,H46A,"Increased count, motility, and total motile sperm cells collected across three consecutive ejaculations within 24 h of oocyte retrieval: implications for management of men presenting with low numbers of motile sperm for assisted reproduction",Abstinence,2015,https://doi.org/10.1007/s10815-015-0509-z,USA,Infertile,,table 1,% total motility,Motility,Sperm performance,0.083,4,0.083,1,3.5,,,,,,,,,,,,,,,49.3,43,15.7,,,,,,,,,,,,,,,18.7,23,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,25,50,,,,,,,Simulation,1,Longitudinal,Prospective,
RH161,H46,H46A,"Increased count, motility, and total motile sperm cells collected across three consecutive ejaculations within 24 h of oocyte retrieval: implications for management of men presenting with low numbers of motile sperm for assisted reproduction",Abstinence,2015,https://doi.org/10.1007/s10815-015-0509-z,USA,Infertile,,table 1,Progressive motility but on an objective scale,Motility,Sperm performance,0.083,4,0.083,1,3.5,,,,,,,,,,,,,,,1.8,1.7,1.4,,,,,,,,,,,,,,,0.4,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,25,50,,,,,,,Simulation,1,Longitudinal,Prospective,
RH278,H69,H69A,Sperm Chromatin Immaturity Observed in Short Abstinence Ejaculates Affects DNA Integrity and Longevity In Vitro,Abstinence,2016,https://doi.org/10.1371/journal.pone.0152942,India,Healthy,,supplementary table 1,% total motility,Motility,Sperm performance,1,7,1,3,5,7,,,,,,,,,,,,,,72.52,71.26,64.1,66.21,,,,,,,,,,,,,,16.25,8.58,17.45,14.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,19,,,,,,,,,,,,,,,,,,19,76,,,,,,,Simulation,1,Longitudinal,Prospective,Only neat ejaculate freshly analysed used to prevent effects of in vitro storage to affect the results
RH279,H69,H69A,Sperm Chromatin Immaturity Observed in Short Abstinence Ejaculates Affects DNA Integrity and Longevity In Vitro,Abstinence,2016,https://doi.org/10.1371/journal.pone.0152942,India,Healthy,,supplementary table 1,% viable,Viability,Viability,1,7,1,3,5,7,,,,,,,,,,,,,,67.6,67.1,60.7,54.4,,,,,,,,,,,,,,8.09,13.46,13.97,15.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,10,40,,,,,,,Simulation,1,Longitudinal,Prospective,Only neat ejaculate freshly analysed used to prevent effects of in vitro storage to affect the results
RH280,H69,H69A,Sperm Chromatin Immaturity Observed in Short Abstinence Ejaculates Affects DNA Integrity and Longevity In Vitro,Abstinence,2016,https://doi.org/10.1371/journal.pone.0152942,India,Healthy,,supplementary table 1,% normal morphlology sperm,Morphology,Morphology,1,7,1,3,5,7,,,,,,,,,,,,,,38.63,38,35.27,34.45,,,,,,,,,,,,,,10.25,12.02,11.67,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,,,,,,11,44,,,,,,,Simulation,1,Longitudinal,Prospective,Only neat ejaculate freshly analysed used to prevent effects of in vitro storage to affect the results
RH281,H69,H69A,Sperm Chromatin Immaturity Observed in Short Abstinence Ejaculates Affects DNA Integrity and Longevity In Vitro,Abstinence,2016,https://doi.org/10.1371/journal.pone.0152942,India,Healthy,,supplementary table 4,neat ejaculate- % DNA fragmented,DNA damage,Intra-cellular,1,7,1,3,5,7,,,,,,,,,,,,,,11.785,14.9,19.84,27.1,,,,,,,,,,,,,,6.5,9.98,9.95,9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,14,,,,,,,,,,,,,,,,,,14,56,,,,,,,Simulation,-1,Longitudinal,Prospective,Only neat ejaculate freshly analysed used to prevent effects of in vitro storage to affect the results
RH325,H83,H83A,Variability in the human-hamster in vitro assay for fertility evaluation,Other,,https://doi.org/10.1016/S0015-0282(16)46820-2,USA,Healthy,,table 3,% total motility,Motility,Sperm performance,0.5,2,0.5,1,2,,,,,,,,,,,,,,,59,56.25,62.5,,,,,,,,,,,,,,,10.31503757,3.708099244,7.416198487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,4,8,,,,,,,Simulation,1,Longitudinal,Prospective,"means and SD manually calculated across the four donors samples. Fertilisation index not recorded due to IVF, and sperm numbers not bein g controlled for"
RH383,H99,H99A,Influence of the abstinence period on human sperm quality,Abstinence,2004,10.1016/j.fertnstert.2004.03.014,USA,Infertile,30,figure 1d,% viable sperm,Viability,Viability,1,8,1,3,5,8,,,,,,,,,,,,,,61.14,59.504,59.355,62.479,,,,,,,,,,,,,,14.92,19.405,14.658,8.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,,,,,,11,44,,,,,,,Simulation,1,Longitudinal,Prospective,"SD calculated by creating raw data from graphs for each individual's data, and then using excel to calculate the SD"
RH384,H99,H99A,Influence of the abstinence period on human sperm quality,Abstinence,2004,10.1016/j.fertnstert.2004.03.014,USA,Infertile,30,figure 1e,% total motility,Motility,Sperm performance,1,8,1,3,5,8,,,,,,,,,,,,,,51.92,51.93,51.18,60.37,,,,,,,,,,,,,,12.98,13.2,12.811,15.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,,,,,,11,44,,,,,,,Simulation,1,Longitudinal,Prospective,"SD calculated by creating raw data from graphs for each individual's data, and then using excel to calculate the SD"
RH385,H99,H99A,Influence of the abstinence period on human sperm quality,Abstinence,2004,10.1016/j.fertnstert.2004.03.014,USA,Infertile,30,figure 1g,% normal morphlology sperm,Morphology,Morphology,1,8,1,3,5,8,,,,,,,,,,,,,,7.82,7.34,7.95,7.34,,,,,,,,,,,,,,1.876,1.856,1.899,1.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,,,,,,11,44,,,,,,,Simulation,1,Longitudinal,Prospective,"SD calculated by creating raw data from graphs for each individual's data, and then using excel to calculate the SD"
RH386,H99,H99A,Influence of the abstinence period on human sperm quality,Abstinence,2004,10.1016/j.fertnstert.2004.03.014,USA,Infertile,30,figure 1h,% DNA fragmented,DNA damage,Intra-cellular,1,8,1,3,5,8,,,,,,,,,,,,,,20.24,20.23,21.08,19.11,,,,,,,,,,,,,,5.2,5.236,4.98,4.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,,,,,,,,,,,,,,,,,,11,44,,,,,,,Simulation,-1,Longitudinal,Prospective,"SD calculated by creating raw data from graphs for each individual's data, and then using excel to calculate the SD"
RH56,H18,H18A,Effect of Abstinence Duration on Sperm Sex Ratio,Abstinence,2014,https://he02.tci-thaijo.org/index.php/sirirajmedj/article/view/55267,Thailand,Healthy,35.34,table 2,Total motility,Motility,Sperm performance,1,10,1,2,3,4,5,6,7,8,9,10,,,,,,,,61.6,53.1,51.1,64.2,56.4,45.1,51.8,50.8,55.1,51.4,,,,,,,,11.87,12.91,7.14,14.12,8.72,9.23,6.89,9.35,13.3,10.81,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,100,1000,,,,,,,Simulation,1,Longitudinal,Prospective,Only non-processed samples data used coz processing would also lead to in vitro sperm ageing
RH57,H18,H18A,Effect of Abstinence Duration on Sperm Sex Ratio,Abstinence,2014,https://he02.tci-thaijo.org/index.php/sirirajmedj/article/view/55267,Thailand,Healthy,35.34,table 2,% normal morphlology sperm,Morphology,Morphology,1,10,1,2,3,4,5,6,7,8,9,10,,,,,,,,18.1,14.7,15.3,15.8,17.7,18,19.7,15.2,15.6,15.4,,,,,,,,4.82,2.54,1.7,6.12,5.27,6.09,8.63,4.83,7.59,5.87,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,100,1000,,,,,,,Simulation,1,Longitudinal,Prospective,Only non-processed samples data used coz processing would also lead to in vitro sperm ageing
RH58,H18,H18A,Effect of Abstinence Duration on Sperm Sex Ratio,Abstinence,2014,https://he02.tci-thaijo.org/index.php/sirirajmedj/article/view/55267,Thailand,Healthy,35.34,table 2,% viable,Viability,Viability,1,10,1,2,3,4,5,6,7,8,9,10,,,,,,,,75.5,71.8,75.3,76.5,77.9,70.4,69.2,75.6,74.5,71.5,,,,,,,,8.15,7.5,4.92,7.55,5.9,7.86,9.89,4.5,13.31,8.37,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,100,1000,,,,,,,Simulation,1,Longitudinal,Prospective,Only non-processed samples data used coz processing would also lead to in vitro sperm ageing
RH59,H19,H19A,"Effect of abstinence on sperm acrosin, hypoosmotic swelling, and other semen variables",Abstinence,1992,https://doi.org/10.1016/S0015-0282(16)55330-8,USA,Healthy,26.5,table 1,% motile,Motility,Sperm performance,1,10,1,2,3,4,5,10,,,,,,,,,,,,50,54,62,54,58,57,,,,,,,,,,,,5,5,6,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,,,,10,60,,,,,,,Simulation,1,Longitudinal,Prospective,
RH60,H19,H19A,"Effect of abstinence on sperm acrosin, hypoosmotic swelling, and other semen variables",Abstinence,1992,https://doi.org/10.1016/S0015-0282(16)55330-8,USA,Healthy,26.5,table 1,% normal morphlology sperm,Morphology,Morphology,1,10,1,2,3,4,5,10,,,,,,,,,,,,65,60,68,70,72,50,,,,,,,,,,,,3,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,,,,10,60,,,,,,,Simulation,1,Longitudinal,Prospective,
RH61,H19,H19A,"Effect of abstinence on sperm acrosin, hypoosmotic swelling, and other semen variables",Abstinence,1992,https://doi.org/10.1016/S0015-0282(16)55330-8,USA,Healthy,26.5,table 1,Hypo-osmotic swelling test,Viability,Viability,1,10,1,2,3,4,5,10,,,,,,,,,,,,65,62,64,59,63,60,,,,,,,,,,,,4,4,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,,,,,,,,,,,,,,,,10,60,,,,,,,Simulation,1,Longitudinal,Prospective,
RH62,H20,H20A,EFFECT OF ABSTINENCE ON SPERM MOTILITY IN NORMAL MEN,Abstinence,1988,https://doi.org/10.1016/0002-9378(88)90038-5,USA,Healthy,,table 2,% motile,Motility,Sperm performance,0.5,5,0.5,1,3,5,,,,,,,,,,,,,,70.65,74.77,71.58,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,3.41,4.49,4.37,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,10,40,,,,,,,Simulation,1,Longitudinal,Prospective,
RH63,H20,H20A,EFFECT OF ABSTINENCE ON SPERM MOTILITY IN NORMAL MEN,Abstinence,1988,https://doi.org/10.1016/0002-9378(88)90038-5,USA,Healthy,,table 2,mean velocity,Velocity,Sperm performance,0.5,5,0.5,1,3,5,,,,,,,,,,,,,,39.26,41.18,38.72,37.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,1.7,1.4,1.1,,,,,,,,,,,,,,10,10,10,10,,,,,,,,,,,,,,,,,,10,40,,,,,,,Simulation,1,Longitudinal,Prospective,
RH77,H26,H26A,EFFECT OF TIME INTERVAL BETWEEN EJACULATIONS ON SEMEN PARAMETERS,Abstinence,1991,10.3109/01485019108987658,USA,Healthy,,table 1,% viable,Viability,Viability,3,14,3,7,10,14,,,,,,,,,,,,,,84,85,82,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,8,7,,,,,,,,,,,,,,7,7,7,7,,,,,,,,,,,,,,,,,,7,28,,,,,,,Simulation,1,Longitudinal,Prospective,
RH81,H28,H28A,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Healthy,28.6,figure 1,Hypo-osmotic swelling test,Viability,Viability,1,14,1,2,4,7,10,14,,,,,,,,,,,,68.78640777,66.74757282,72.52427184,70.82524272,66.40776699,61.65048544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45631068,6.796116505,3.058252427,6.116504854,3.058252427,10.19417476,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,4,24,,,,,,,Simulation,1,Longitudinal,Prospective,
RH82,H28,H28A,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Healthy,28.6,figure 1,% progressive,Motility,Sperm performance,1,14,1,2,4,7,10,14,,,,,,,,,,,,42.96116505,47.03883495,50.09708738,43.98058252,45.33980583,39.22330097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.417475728,1.699029126,2.378640777,0.67961165,2.718446602,1.699029126,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,4,24,,,,,,,Simulation,1,Longitudinal,Prospective,
RH83,H28,H28A,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Healthy,28.6,figure 1,% normal morphlology sperm,Morphology,Morphology,1,14,1,2,4,7,10,14,,,,,,,,,,,,18.83495146,27.66990291,31.40776699,26.99029126,29.36893204,24.61165049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.097087379,4.757281553,3.737864078,3.737864078,2.378640777,3.398058252,,,,,,,,,,,,4,4,4,4,4,4,,,,,,,,,,,,,,,,4,24,,,,,,,Simulation,1,Longitudinal,Prospective,
RH84,H28,H28A,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Healthy,28.6,figure 3,Hypo-osmotic swelling test,Viability,Viability,2,10,2,7,10,,,,,,,,,,,,,,,82.75,85.1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3,5.5,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,7,21,,,,,,,Simulation,1,Longitudinal,Prospective,"Only first of three ejaculates used because next two ejaculates for a given duration, would be ejacuated very shortly after the first one"
RH85,H28,H28A,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Healthy,28.6,figure 3,% progressive,Motility,Sperm performance,2,10,2,7,10,,,,,,,,,,,,,,,60.1,56.5,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,4.7,4.2,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,7,21,,,,,,,Simulation,1,Longitudinal,Prospective,"Only first of three ejaculates used because next two ejaculates for a given duration, would be ejacuated very shortly after the first one"
RH86,H28,H28A,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Healthy,28.6,figure 3,% normal morphlology sperm,Morphology,Morphology,2,10,2,7,10,,,,,,,,,,,,,,,36.5,36.7,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.8,2.2,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,7,21,,,,,,,Simulation,1,Longitudinal,Prospective,"Only first of three ejaculates used because next two ejaculates for a given duration, would be ejacuated very shortly after the first one"
RH86.2,H28,H28A,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Healthy,28.6,Table 2,VCL,Velocity,Sperm performance,2,10,2,7,10,,,,,,,,,,,,,,,62.2,60.4,67.1,,,,,,,,,,,,,,,18.3,19.3,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,,,,,,,,,,,,,,,,,,,7,21,,,,,,,Simulation,1,Longitudinal,Prospective,"Only first of three ejaculates used because next two ejaculates for a given duration, would be ejacuated very shortly after the first one"
RH87,H28,H28B,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Infertile,32,figure 3,Hypo-osmotic swelling test,Viability,Viability,2,10,2,7,10,,,,,,,,,,,,,,,72.5,77,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,4.8,1.1,,,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,,6,18,,,,,,,Simulation,1,Longitudinal,Prospective,"Only first of three ejaculates used because next two ejaculates for a given duration, would be ejacuated very shortly after the first one"
RH88,H28,H28B,"Effects of multiple ejaculations after extended periods of sexual abstinence on total, motile and normal sperm numbers, as well as accessory gland secretions, from healthy normal and oligozoospermic men",Abstinence,1993,10.1093/oxfordjournals.humrep.a138236,Germany,Infertile,32,figure 3,% progressive,Motility,Sperm performance,2,10,2,7,10,,,,,,,,,,,,,,,30.2,31,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7.4,,,,,,,,,,,,,,,6,6,6,,,,,,,,,,,,,,,,,,,6,18,,,,,,,Simulation,1,Longitudinal,Prospective,"Only first of three ejaculates used because next two ejaculates for a given duration, would be ejacuated very shortly after the first one"
